symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
NAS100.,long,2025-07-15 18:00:00+02:00,23037.4,2025-07-15 18:30:00+02:00,23004.379565117717,SL,0.1,-3302.0,-3.3,128.7
DJ30.,short,2025-07-15 18:45:00+02:00,44350.45,2025-07-15 20:00:00+02:00,44226.759635138784,SL,0.1,12369.0,12.37,141.07
SP500.,short,2025-07-15 18:45:00+02:00,6287.25,2025-07-15 20:00:00+02:00,6271.286920106555,SL,0.3,1596.3,4.79,145.86
NAS100.,short,2025-07-15 20:00:00+02:00,22940.65,2025-07-15 20:15:00+02:00,22990.38311932772,SL,0.1,-4973.3,-4.97,140.89
NAS100.,long,2025-07-16 18:15:00+02:00,22912.7,2025-07-16 18:30:00+02:00,22883.053063348674,SL,0.1,-2964.7,-2.96,137.93
NAS100.,short,2025-07-16 20:45:00+02:00,22779.95,2025-07-16 20:45:00+02:00,22839.025892018763,SL,0.1,-5907.6,-5.91,132.02
DJ30.,short,2025-07-16 20:30:00+02:00,43993.45,2025-07-16 20:45:00+02:00,43862.146219572016,SL,0.1,13130.4,13.13,145.15
SP500.,short,2025-07-16 20:45:00+02:00,6227.5,2025-07-16 20:45:00+02:00,6239.855715318578,SL,0.2,-1235.6,-2.47,142.68
NAS100.,long,2025-07-17 18:00:00+02:00,22991.76,2025-07-17 18:15:00+02:00,22963.289558147928,SL,0.1,-2847.0,-2.85,139.83
DJ30.,long,2025-07-17 18:15:00+02:00,44280.0,2025-07-17 18:15:00+02:00,44228.063574482076,SL,0.1,-5193.6,-5.19,134.64
SP500.,long,2025-07-17 18:00:00+02:00,6276.45,2025-07-17 18:15:00+02:00,6269.671917998648,SL,0.4,-677.8,-2.71,131.93
DJ30.,long,2025-07-17 19:00:00+02:00,44411.5,2025-07-17 19:15:00+02:00,44332.308481140724,SL,0.1,-7919.2,-7.92,124.01
NAS100.,long,2025-07-17 19:00:00+02:00,22995.01,2025-07-17 21:00:00+02:00,23106.5195271296,TP,0.1,11151.0,11.15,135.16
SP500.,long,2025-07-17 18:45:00+02:00,6279.2,2025-07-17 21:30:00+02:00,6290.314534928218,SL,0.3,1111.5,3.33,138.49
NAS100.,long,2025-07-18 18:30:00+02:00,23148.61,2025-07-18 18:30:00+02:00,23125.850475579144,SL,0.1,-2276.0,-2.28,136.21
NAS100.,short,2025-07-18 19:15:00+02:00,23077.36,2025-07-18 21:30:00+02:00,23058.502192883276,SL,0.1,1885.8,1.89,138.1
SP500.,short,2025-07-18 19:45:00+02:00,6296.3,2025-07-21 04:00:00+02:00,6304.07830610192,SL,0.4,-777.8,-3.11,134.99
NAS100.,short,2025-07-21 17:45:00+02:00,23122.95,2025-07-21 18:15:00+02:00,23097.20902946115,SL,0.2,2574.1,5.15,140.14
DJ30.,short,2025-07-21 18:15:00+02:00,44419.45,2025-07-21 18:30:00+02:00,44449.649380332,SL,0.1,-3019.9,-3.02,137.12
SP500.,short,2025-07-21 18:00:00+02:00,6306.95,2025-07-21 18:30:00+02:00,6310.895948379895,SL,0.7,-394.6,-2.76,134.36
DJ30.,long,2025-07-21 19:00:00+02:00,44508.45,2025-07-21 19:00:00+02:00,44458.55803987266,SL,0.1,-4989.2,-4.99,129.37
